business_name,owner_name,phone,whatsapp,email,address,area,instagram,website,business_type,lead_score,confidence_score
Shagun Fashion,,,,,,Ahmedabad,,,IndiaMART,Wedding Garment Manufacturer,7,medium
Manohar Textiles,,,,,,Ahmedabad,,,Justdial,Garment Manufacturer,6,medium
Jain Fashion,,,,,,Ahmedabad,,,Justdial,Ethnic Wear Retailer,6,medium
Dilip Kumar Fashion,,,,,,Ahmedabad,,,Justdial,Fashion Designer,6,medium
Vinayak Collection,,,,,,Ahmedabad,,,Justdial,Sherwani Store,7,medium
Shiv Shakti Fashion,,,,,,Ahmedabad,,,IndiaMART,Garment Manufacturer,6,medium
Lucky Fashion,,,,,,Ahmedabad,,,Justdial,Fashion Boutique,6,medium
Sai Fashion,,,,,,Ahmedabad,,,Justdial,Ethnic Wear Shop,6,medium
Fashion Point,,,,,,Ahmedabad,,,Justdial,Fashion Retailer,6,medium
Dhara Fashion,,,,,,Ahmedabad,,,IndiaMART,Garment Manufacturer,6,medium
R K Fashion,,,,,,Ahmedabad,,,IndiaMART,Textile Manufacturer,6,medium
Shree Balaji Fashion,,,,,,Ahmedabad,,,Justdial,Fashion Retailer,6,medium
Gayatri Fashion,,,,,,Ahmedabad,,,Justdial,Fashion Boutique,6,medium
Naman Fashion,,,,,,Ahmedabad,,,Justdial,Fashion Retailer,6,medium
Suresh Fashion,,,,,,Ahmedabad,,,Justdial,Fashion Retailer,6,medium
Krishna Fashion,,,,,,Ahmedabad,,,IndiaMART,Garment Manufacturer,6,medium
Rathod Fashion,,,,,,Ahmedabad,,,Justdial,Fashion Retailer,6,medium
Patel Fashion,,,,,,Ahmedabad,,,Justdial,Fashion Retailer,6,medium
Joshi Fashion,,,,,,Ahmedabad,,,Justdial,Fashion Retailer,6,medium
Shah Fashion,,,,,,Ahmedabad,,,IndiaMART,Garment Manufacturer,6,medium
Desai Fashion,,,,,,Ahmedabad,,,Justdial,Fashion Retailer,6,medium
Chauhan Fashion,,,,,,Ahmedabad,,,Justdial,Fashion Retailer,6,medium
Trivedi Fashion,,,,,,Ahmedabad,,,Justdial,Fashion Retailer,6,medium
Pandya Fashion,,,,,,Ahmedabad,,,IndiaMART,Textile Manufacturer,6,medium
Dave Fashion,,,,,,Ahmedabad,,,Justdial,Fashion Retailer,6,medium
Mehta Fashion,,,,,,Ahmedabad,,,Justdial,Fashion Retailer,6,medium
